"","school","sex","age","address","famsize","Pstatus","Medu","Fedu","Mjob","Fjob","reason","guardian","traveltime","studytime","failures","schoolsup","famsup","paid","activities","nursery","higher","internet","romantic","famrel","freetime","goout","Dalc","Walc","health","absences","G1","G2","G3"
"1",1,1,18,2,1,1,4,4,NA,5,1,2,2,2,0,1,0,0,0,1,1,0,0,4,3,4,1,1,3,4,0,11,NA
"2",1,1,17,2,1,2,1,1,1,3,1,1,1,2,0,NA,1,0,0,0,1,1,0,5,3,NA,1,1,3,2,9,11,11
"3",1,1,15,2,2,2,1,1,1,3,3,2,1,2,NA,1,0,0,0,1,1,1,0,4,3,2,NA,3,NA,6,12,13,12
"4",1,1,15,2,1,2,4,NA,2,4,2,2,1,3,0,0,1,0,1,1,1,1,1,3,2,2,1,1,5,0,14,14,14
"5",1,1,16,2,1,2,3,3,3,3,2,1,1,2,0,0,1,0,0,1,1,0,0,4,3,2,1,2,5,0,11,13,13
"6",1,2,16,2,2,2,4,3,4,3,4,2,1,2,0,0,1,0,1,1,1,1,0,5,4,2,1,2,5,6,12,12,13
"7",1,NA,16,2,2,2,2,2,3,3,2,2,1,2,0,0,0,0,0,1,1,1,0,4,4,4,1,1,3,0,13,12,13
"8",1,1,17,2,NA,1,4,4,3,NA,2,2,2,2,0,1,1,0,0,1,1,0,0,4,NA,4,1,1,1,2,10,13,13
"9",1,2,15,2,2,1,3,2,4,3,2,2,1,2,0,0,1,0,0,1,1,1,0,NA,2,2,1,1,1,0,15,16,17
"10",1,2,15,2,1,2,3,4,NA,3,2,2,1,2,0,0,1,0,1,1,1,1,0,5,5,1,NA,1,5,0,12,12,13
"11",1,1,15,2,1,2,4,4,5,2,4,2,1,2,0,0,1,0,NA,1,1,1,0,3,NA,3,1,2,2,2,14,14,14
"12",1,1,15,2,1,2,2,1,NA,NA,4,1,NA,3,0,0,1,0,1,1,1,1,0,5,2,2,1,1,NA,NA,10,12,13
"13",1,2,NA,2,2,2,4,4,2,4,1,1,1,1,0,0,1,0,1,1,1,1,0,4,3,3,1,3,5,0,NA,13,NA
"14",1,2,15,2,1,2,4,3,5,3,1,2,2,2,0,0,1,0,0,1,1,1,0,5,4,3,1,2,3,0,NA,12,13
"15",1,2,15,2,1,1,2,2,3,3,2,3,1,3,0,0,1,0,0,NA,1,1,1,4,5,2,1,1,3,0,NA,14,15
"16",1,1,16,2,1,2,4,4,2,3,NA,2,NA,1,0,0,1,0,0,1,NA,1,0,4,4,4,1,2,2,6,17,17,17
"17",1,1,16,2,1,NA,NA,4,4,NA,4,2,NA,3,0,0,1,0,1,1,1,1,0,3,2,3,1,2,2,10,13,13,14
"18",1,1,16,2,1,2,3,3,3,3,4,2,NA,2,0,1,1,0,1,1,1,0,0,5,3,2,1,NA,4,2,13,14,14
"19",1,2,17,2,1,2,3,2,4,4,1,2,1,1,3,0,1,1,1,1,1,1,0,5,5,NA,2,4,5,2,8,8,7
"20",1,2,NA,2,2,2,NA,3,2,3,2,1,1,1,0,0,0,NA,1,1,1,1,0,NA,1,3,1,3,NA,6,12,12,12
"21",1,2,15,2,1,2,4,3,5,3,4,2,1,2,0,0,0,0,0,1,1,1,0,4,4,1,1,1,1,0,12,13,14
"22",1,2,15,2,1,2,4,NA,2,2,3,1,1,1,0,0,1,1,0,1,1,NA,NA,5,4,2,1,1,5,0,11,12,12
"23",1,2,16,2,2,2,4,2,5,3,1,NA,1,2,0,0,0,0,1,1,1,1,0,NA,5,1,1,3,5,0,12,13,14
"24",1,2,16,2,2,2,2,2,3,3,NA,2,2,2,NA,0,1,0,1,1,1,1,0,5,4,4,2,4,5,2,10,10,10
"25",1,1,15,1,1,2,2,4,4,2,1,2,1,3,0,1,1,0,1,1,1,1,0,4,3,2,1,1,5,2,10,11,10
"26",1,1,16,2,1,2,2,2,4,4,2,2,1,1,0,0,1,0,0,0,1,1,0,1,2,2,1,3,5,6,10,11,12
